,id,cloud_cover,source,aoi_code,percentage_valid_pixels,geometry
54,2021-08-13,2.36,landsat,AOI0369,1.0,"POLYGON ((148.09960316085716 -32.044605605264366, 148.30960316085716 -32.044605605264366, 148.30960316085716 -31.834605605264365, 148.09960316085716 -31.834605605264365, 148.09960316085716 -32.044605605264366))"
55,2021-08-29,56.97,landsat,AOI0369,1.0,"POLYGON ((148.09960316085716 -32.044605605264366, 148.30960316085716 -32.044605605264366, 148.30960316085716 -31.834605605264365, 148.09960316085716 -31.834605605264365, 148.09960316085716 -32.044605605264366))"
56,2021-08-06,88.71,landsat,AOI0370,1.0,"POLYGON ((148.29960316085715 -32.84460560526438, 148.50960316085715 -32.84460560526438, 148.50960316085715 -32.634605605264376, 148.29960316085715 -32.634605605264376, 148.29960316085715 -32.84460560526438))"
57,2021-08-22,33.7,landsat,AOI0370,1.0,"POLYGON ((148.29960316085715 -32.84460560526438, 148.50960316085715 -32.84460560526438, 148.50960316085715 -32.634605605264376, 148.29960316085715 -32.634605605264376, 148.29960316085715 -32.84460560526438))"
58,2021-08-13,2.36,landsat,AOI0370,0.013345028801244191,"POLYGON ((148.29960316085715 -32.84460560526438, 148.50960316085715 -32.84460560526438, 148.50960316085715 -32.634605605264376, 148.29960316085715 -32.634605605264376, 148.29960316085715 -32.84460560526438))"
59,2021-08-29,56.97,landsat,AOI0370,0.016579717252071212,"POLYGON ((148.29960316085715 -32.84460560526438, 148.50960316085715 -32.84460560526438, 148.50960316085715 -32.634605605264376, 148.29960316085715 -32.634605605264376, 148.29960316085715 -32.84460560526438))"
60,2021-08-06,54.69,landsat,AOI0371,1.0,"POLYGON ((148.29960316085715 -32.644605605264374, 148.50960316085715 -32.644605605264374, 148.50960316085715 -32.43460560526437, 148.29960316085715 -32.43460560526437, 148.29960316085715 -32.644605605264374))"
61,2021-08-22,10.8,landsat,AOI0371,1.0,"POLYGON ((148.29960316085715 -32.644605605264374, 148.50960316085715 -32.644605605264374, 148.50960316085715 -32.43460560526437, 148.29960316085715 -32.43460560526437, 148.29960316085715 -32.644605605264374))"
62,2021-08-13,2.36,landsat,AOI0371,0.20123265678058055,"POLYGON ((148.29960316085715 -32.644605605264374, 148.50960316085715 -32.644605605264374, 148.50960316085715 -32.43460560526437, 148.29960316085715 -32.43460560526437, 148.29960316085715 -32.644605605264374))"
63,2021-08-29,56.97,landsat,AOI0371,0.21067583580930083,"POLYGON ((148.29960316085715 -32.644605605264374, 148.50960316085715 -32.644605605264374, 148.50960316085715 -32.43460560526437, 148.29960316085715 -32.43460560526437, 148.29960316085715 -32.644605605264374))"
